date,ticker,klass,move,mentions,videos
2026-06-01,TGHL,CONFIRMED,range 91% · close +288%,10,eMRYIeDWZkQ
2026-06-04,STI,CONFIRMED,range 102% · close +351%,4,A7acrZyX9VU
2026-06-08,SA,WEAK,range 8% · close -5%,17,4tOf-A3MaOE
2026-06-08,NPT,CONFIRMED,range 834% · close +284%,3,RMxnG64WuLc
2026-06-09,SA,WEAK,range 15% · close -0%,15,znf0QIW8KRE udYfAMxK8GI
2026-06-09,CCTG,CONFIRMED,range 276% · close +272%,3,znf0QIW8KRE
2026-06-10,SA,WEAK,range 10% · close -10%,12,YDCycC3xVMA ltdLO7sAzow
2026-06-10,VSME,CONFIRMED,range 173% · close +149%,10,YDCycC3xVMA ltdLO7sAzow
2026-06-10,DSY,CONFIRMED,range 211% · close +291%,10,YDCycC3xVMA ltdLO7sAzow
2026-06-10,CIIT,CONFIRMED,range 204% · close +34%,4,YDCycC3xVMA
2026-06-10,KIDZ,CONFIRMED,range 26% · close -26%,4,YDCycC3xVMA
2026-06-10,PAVS,CONFIRMED,range 108% · close -51%,3,YDCycC3xVMA
2026-06-11,EDHL,CONFIRMED,range 199% · close +71%,17,vcfpJWEqaTU 5UBYoh6J2e0
2026-06-11,FGL,CONFIRMED,range 20% · close +3%,13,vcfpJWEqaTU 5UBYoh6J2e0
2026-06-15,CUPR,CONFIRMED,range 111% · close +112%,4,KlIE5mjS2dM
2026-06-15,JRSH,CONFIRMED,range 52% · close +8%,4,KlIE5mjS2dM
2026-06-16,TDIC,CONFIRMED,range 47% · close +40%,8,ZVM1OzsCRcc c814DtTOGDg
2026-06-16,OPTX,WEAK,range 16% · close -7%,3,ZVM1OzsCRcc
2026-06-17,EHGO,CONFIRMED,range 186% · close +119%,7,9aVNE3mJJBk
2026-06-17,ICCM,CONFIRMED,range 165% · close +200%,4,9aVNE3mJJBk
2026-06-17,UTSI,CONFIRMED,range 48% · close -1%,3,9aVNE3mJJBk
2026-06-17,CLWT,CONFIRMED,range 74% · close +31%,3,9aVNE3mJJBk
2026-06-18,SA,WEAK,range 11% · close -3%,3,Zf2p9c1qHjg
2026-06-22,ICCM,CONFIRMED,range 34% · close +10%,6,wxcUcYbUtDw
2026-06-22,NXTS,CONFIRMED,range 116% · close +156%,5,wxcUcYbUtDw
2026-06-23,NXTS,CONFIRMED,range 27% · close -55%,4,10ogBWqgprI
2026-06-23,ICCM,CONFIRMED,range 27% · close +3%,3,10ogBWqgprI
2026-06-24,FRTT,CONFIRMED,range 250% · close -28%,9,tfTdAbm9oTI D8Guwf84eAA
2026-06-24,SA,WEAK,range 11% · close -9%,7,tfTdAbm9oTI D8Guwf84eAA
2026-06-24,PLSM,CONFIRMED,range 110% · close +93%,7,tfTdAbm9oTI D8Guwf84eAA
2026-06-25,FCUV,CONFIRMED,range 50% · close +8%,3,P5Sn_mWJdy0
2026-06-26,ZDAI,CONFIRMED,range 57% · close +5%,4,P5qdiBNct1c
2026-06-26,SHPH,CONFIRMED,range 64% · close +6%,3,hUb-n3kzqjI
2026-06-29,UPC,CONFIRMED,range 71% · close +311%,4,tQ7cYcI2tNk
2026-06-30,SVRE,CONFIRMED,range 192% · close -3%,6,PnuyhYGHuUY
2026-06-30,JEM,CONFIRMED,range 64% · close +268%,4,PnuyhYGHuUY
2026-06-30,CELZ,CONFIRMED,range 245% · close +79%,3,PnuyhYGHuUY
2026-07-06,GMEX,CONFIRMED,range 46% · close -18%,8,4T2x29K1TDk
2026-07-06,LHSW,CONFIRMED,range 57% · close +278%,4,4T2x29K1TDk
2026-07-07,CLRO,CONFIRMED,range 103% · close +98%,7,Dpba4GF0KhY 550XNdh4y5k
2026-07-07,TDTH,CONFIRMED,range 33% · close +41%,3,550XNdh4y5k
2026-07-08,SA,WEAK,range 8% · close -6%,4,0smkAvTc4AY
2026-07-10,GMM,CONFIRMED,range 79% · close +147%,6,uTyfk4UvsUw
2026-07-13,PLSM,CONFIRMED,range 53% · close -6%,13,RZbM0qXOFbc S2sOq-stPgA
2026-07-14,NXTC,CONFIRMED,range 72% · close +202%,9,ut9nmRP3ENY ChLgwLS9eJY
2026-07-15,ERNA,CONFIRMED,range 62% · close +11%,6,TzpOIMOrU7I 8IYunlNOVmM
2026-07-16,TGHL,CONFIRMED,range 39% · close +87%,3,2UpK6vs0MVQ
2026-07-16,VEEE,CONFIRMED,range 34% · close +36%,3,2UpK6vs0MVQ
2026-07-16,IQST,CONFIRMED,range 22% · close +38%,3,2UpK6vs0MVQ
2026-07-17,PSNY,WEAK,range 8% · close -2%,9,PMNTB2WAiww
2026-07-17,ERNA,WEAK,range 12% · close -10%,3,PMNTB2WAiww
2026-07-17,SLND,CONFIRMED,range 33% · close +67%,3,PMNTB2WAiww
2026-07-17,CJMB,CONFIRMED,range 22% · close +42%,3,PMNTB2WAiww
2026-07-17,BIYA,CONFIRMED,range 22% · close +36%,3,PMNTB2WAiww
2026-07-20,BIYA,CONFIRMED,range 240% · close -15%,3,x0qg5eGF7zc
2026-07-20,ZYBT,CONFIRMED,range 573% · close +1048%,3,x0qg5eGF7zc
2026-07-22,ZYBT,CONFIRMED,range 75% · close -52%,18,q-ywzhtkeY8
2026-07-22,CPHI,CONFIRMED,range 77% · close -79%,15,YkEOx0ZWlWc q-ywzhtkeY8
2026-07-22,MI,WEAK,range 14% · close +15%,6,q-ywzhtkeY8
2026-07-22,ZCMD,CONFIRMED,range 462% · close +192%,4,YkEOx0ZWlWc
2026-07-23,ZCMD,CONFIRMED,range 224% · close -60%,9,Ts7C0flv-1g
2026-07-24,VIVK,CONFIRMED,range 55% · close +37%,6,p73Vmwgg64c
2026-07-24,EXYN,CONFIRMED,range 29% · close -14%,6,p73Vmwgg64c
2026-07-24,AMIX,CONFIRMED,range 29% · close -17%,4,p73Vmwgg64c
2026-07-24,CJMB,CONFIRMED,range 77% · close +9%,3,p73Vmwgg64c
2026-07-24,JEM,CONFIRMED,range 39% · close +34%,3,p73Vmwgg64c
2026-07-24,RADX,CONFIRMED,range 44% · close -17%,3,p73Vmwgg64c
2026-07-24,ADVB,CONFIRMED,range 50% · close +13%,3,p73Vmwgg64c
2026-07-24,LVWR,CONFIRMED,range 44% · close +90%,3,p73Vmwgg64c
2026-07-24,AKAN,CONFIRMED,range 97% · close -4%,3,p73Vmwgg64c
2026-07-24,WLDS,CONFIRMED,range 79% · close +58%,3,p73Vmwgg64c
2026-07-24,OCG,WEAK,range 12% · close +7%,3,p73Vmwgg64c
2026-07-24,OMH,CONFIRMED,range 366% · close +19%,3,p73Vmwgg64c
2026-07-24,MSS,CONFIRMED,range 85% · close -28%,3,p73Vmwgg64c
2026-07-27,EDBL,CONFIRMED,range 207% · close -7%,6,Ht5j4VMdRMo 83Yuliq1vHA
2026-07-27,LGHL,CONFIRMED,range 117% · close +17%,3,83Yuliq1vHA
2026-07-28,DFNS,CONFIRMED,range 83% · close +83%,18,1ml6zHikpsE Zj0DYfQilso
2026-07-28,INLF,CONFIRMED,range 98% · close +62%,15,1ml6zHikpsE Zj0DYfQilso
2026-07-28,LGHL,CONFIRMED,range 96% · close +1%,3,Zj0DYfQilso
2026-07-28,BIYA,CONFIRMED,range 69% · close +54%,3,Zj0DYfQilso
2026-07-29,NCRA,CONFIRMED,range 62% · close +118%,12,SuY-q_OWMHw
2026-07-29,DFNS,CONFIRMED,range 100% · close +109%,12,SuY-q_OWMHw
2026-07-29,STFS,CONFIRMED,range 56% · close +32%,12,SuY-q_OWMHw
2026-07-29,AMIX,CONFIRMED,range 84% · close +66%,9,SuY-q_OWMHw
2026-07-29,INLF,WEAK,range 16% · close -19%,3,SuY-q_OWMHw
2026-07-29,MI,WEAK,range 16% · close -8%,3,SuY-q_OWMHw
