ticker,megaday,range_pct,close_chg_pct,volume,close,files,registers
VIP,2021-08-27,126.7,33.7,3447448,1271.980712890625,3,streams:7
FCUV,2021-09-01,329.5,278.0,152747,5141.33349609375,4,"recaps:4,transcripts:3,summaries:1"
LFIN,2021-09-02,218.2,0.0,4800,0.010999999940395355,3,summaries:7
INDP,2021-09-15,182.6,52.1,6052411,301.0,2,summaries:9
SPRC,2021-10-01,140.0,7.4,4,28501.19921875,5,"summaries:14,transcripts:7"
PHUN,2021-10-22,335.6,471.2,12957820,437.0,3,streams:6
WBX,2021-10-26,87.6,46.9,29855300,16.309999465942383,2,streams:2
EVAX,2021-11-04,108.7,95.1,719772,634.0,5,"summaries:16,streams:1,transcripts:1"
PPSI,2021-11-08,123.3,220.0,307436000,10.399999618530273,3,streams:3
BRFH,2021-11-19,83.3,14.7,71169,5.070000171661377,2,"transcripts:1,summaries:1"
LGVN,2021-11-22,243.2,181.2,12866440,282.0,4,streams:54
ENSC,2021-12-07,158.8,136.3,40901,11484.0,2,streams:9
SG,2022-01-24,45.3,23.3,2781300,30.280000686645508,3,"transcripts:2,streams:1"
INDO,2022-01-27,214.3,110.4,53152700,5.889999866485596,5,streams:52
NVCT,2022-02-07,203.5,144.6,43338700,7.949999809265137,2,streams:4
DTST,2022-02-24,49.2,23.0,2078500,3.4800000190734863,2,"streams:1,summaries:1"
MXC,2022-03-08,112.8,-14.4,2118600,26.0,3,streams:35
MARPS,2022-03-08,189.3,27.9,8302800,15.489999771118164,2,streams:27
IMPP,2022-03-08,161.5,-43.3,6924293,63.75,2,streams:40
HYMC,2022-03-10,114.0,138.1,22096590,15.0,2,streams:19
TH,2022-03-29,33.5,-6.1,1750200,5.5,2,"transcripts:6,summaries:2"
GH,2022-05-06,31.2,-22.5,5902200,39.31999969482422,3,streams:39
COIN,2022-05-12,47.7,8.9,58789000,58.5,2,streams:2
RNVA,2022-06-01,300.0,0.0,87686143,9.999999747378752e-05,2,summaries:3
GEVO,2022-06-06,36.5,-33.5,58167200,3.0399999618530273,3,streams:4
IMTE,2022-06-08,264.2,-67.5,2066690,36.5,3,"streams:5,transcripts:1"
PGY,2022-07-20,196.4,129.6,3196375,74.4000015258789,3,streams:15
AMTD,2022-07-22,153.8,103.7,1854783,13.199999809265137,2,"summaries:2,streams:1"
SIGA,2022-07-29,69.4,-23.1,50536200,17.190000534057617,2,streams:2
HKD,2022-08-02,282.5,126.3,351200,1679.0,26,"streams:65,transcripts:8,summaries:7"
