sym,day,prev_close,open_px,gap_pct,prior_dollar_volume_20d,split_on_day,reverse_split_ratio,source,scan_ts,scan_price,scan_gap_pct,scan_cum_volume,scan_dollar_volume,scan_rvol_at_time,qualified_intraday,float_m,float_provenance,catalyst,catalyst_source
FRO,2016-02-03,1.93,9.95,415.5440414507772,7968135.880499998,False,5.0,alpaca:multi,,,,,,,,,unavailable,,
BOOT,2016-02-03,5.53,6.83,23.50813743218806,6569129.590499999,False,,alpaca:multi,,,,,,,,,unavailable,,
TDOC,2016-02-03,15.88,19.53,22.984886649874056,5536930.408999999,False,,alpaca:multi,,,,,,,,,unavailable,,
NPTN,2016-02-03,8.7,9.86,13.333333333333336,4089802.579,False,,alpaca:multi,,,,,,,,,unavailable,,
ESIO,2016-02-03,5.96,6.75,13.25503355704698,501408.7824999999,False,,alpaca:multi,,,,,,,,,unavailable,,
OCLR,2016-02-03,3.67,4.13,12.534059945504087,8950529.396999998,False,,alpaca:multi,,,,,,,,,unavailable,,
MY,2016-02-03,2.03,2.26,11.330049261083744,771830.8934999998,False,,alpaca:multi,,,,,,,,,unavailable,,
VHC,2016-02-04,4.79,8.85,84.7599164926931,5014910.7354999995,False,,alpaca:multi,,,,,,,,,unavailable,,
GLUU,2016-02-04,2.01,2.48,23.38308457711444,5539986.2475000005,False,,alpaca:multi,,,,,,,,,unavailable,,
OSUR,2016-02-04,5.5,6.68,21.45454545454545,2982140.9324999996,False,,alpaca:multi,,,,,,,,,unavailable,,
INVA,2016-02-04,9.1,10.92,20.000000000000004,7079208.3125,False,,alpaca:multi,,,,,,,,,unavailable,,
CORI,2016-02-04,5.38,6.19,15.055762081784396,471333.7995,False,,alpaca:multi,,,,,,,,,unavailable,,
WFT,2016-02-04,6.27,7.1,13.237639553429029,126966017.3145,False,,alpaca:multi,,,,,,,,,unavailable,,
HOLI,2016-02-04,17.06,19.19,12.48534583821807,8789593.575,False,,alpaca:multi,,,,,,,,,unavailable,,
VALE,2016-02-04,2.32,2.56,10.344827586206906,64671161.827,False,,alpaca:multi,,,,,,,,,unavailable,,
CTRL,2016-02-05,6.6,7.89,19.545454545454547,1070236.3085000003,False,,alpaca:multi,,,,,,,,,unavailable,,
LAB,2016-02-05,6.33,7.52,18.799368088467606,5274147.995,False,,alpaca:multi,,,,,,,,,unavailable,,
BSI,2016-02-05,3.6701,4.2,14.438298683959566,3012899.2966799997,False,,alpaca:multi,,,,,,,,,unavailable,,
ECOM,2016-02-05,11.82,13.39,13.282571912013537,2209830.9229999995,False,,alpaca:multi,,,,,,,,,unavailable,,
IMMU,2016-02-05,1.82,2.06,13.186813186813188,1673766.1265000005,False,,alpaca:multi,,,,,,,,,unavailable,,
KIRK,2016-02-05,11.86,13.39,12.900505902192252,3154558.2425,False,,alpaca:multi,,,,,,,,,unavailable,,
APOL,2016-02-08,6.95,8.85,27.338129496402868,19414995.2945,False,,alpaca:multi,,,,,,,,,unavailable,,
SIEN,2016-02-08,8.6,10.4,20.930232558139544,8680952.114000002,False,,alpaca:multi,,,,,,,,,unavailable,,
BSI,2016-02-09,3.4,4.2,23.52941176470589,3093450.5653599994,False,,alpaca:multi,,,,,,,,,unavailable,,
CERS,2016-02-09,5.69,6.3,10.720562390158161,9325020.398999998,False,,alpaca:multi,,,,,,,,,unavailable,,
KPRX,2016-02-09,3.36,3.7,10.11904761904763,1834824.5258000002,False,,alpaca:multi,,,,,,,,,unavailable,,
BTU,2016-02-10,3.38,4.3,27.218934911242602,6122184.0265,False,,alpaca:multi,,,,,,,,,unavailable,,
WIX,2016-02-10,15.85,19.1,20.50473186119875,3910774.1110000005,False,,alpaca:multi,,,,,,,,,unavailable,,
NAII,2016-02-10,7.18,8.5,18.384401114206135,276653.8644999999,False,,alpaca:multi,,,,,,,,,unavailable,,
INST,2016-02-10,14.15,16.28,15.053003533568909,1878638.993,False,,alpaca:multi,,,,,,,,,unavailable,,
ATEN,2016-02-10,4.92,5.64,14.634146341463412,1925463.332,False,,alpaca:multi,,,,,,,,,unavailable,,
RSYS,2016-02-10,2.42,2.75,13.63636363636364,274403.1265,False,,alpaca:multi,,,,,,,,,unavailable,,
PSEC,2016-02-10,5.26,5.87,11.59695817490495,29068792.814,False,,alpaca:multi,,,,,,,,,unavailable,,
TIPT,2016-02-10,5.75,6.34,10.260869565217389,267278.73099999997,False,,alpaca:multi,,,,,,,,,unavailable,,
HDP,2016-02-11,7.83,9.0,14.942528735632182,17134427.1585,False,,alpaca:multi,,,,,,,,,unavailable,,
PGLC,2016-02-11,4.21,4.8,14.01425178147268,386934.54344000004,False,,alpaca:multi,,,,,,,,,unavailable,,
KGC,2016-02-11,2.57,2.93,14.00778210116733,27853806.65,False,,alpaca:multi,,,,,,,,,unavailable,,
AGI,2016-02-11,3.81,4.29,12.598425196850393,5093833.2864999985,False,,alpaca:multi,,,,,,,,,unavailable,,
LTRPA,2016-02-11,17.35,19.51,12.44956772334294,17688958.244,False,,alpaca:multi,,,,,,,,,unavailable,,
AG,2016-02-11,3.68,4.12,11.956521739130432,6117141.2530000005,False,,alpaca:multi,,,,,,,,,unavailable,,
OMED,2016-02-11,8.98,10.05,11.915367483296215,6159662.875499999,False,,alpaca:multi,,,,,,,,,unavailable,,
DDD,2016-02-11,8.07,9.03,11.895910780669134,24247193.666,False,,alpaca:multi,,,,,,,,,unavailable,,
SBSW,2016-02-11,10.79,12.06,11.770157553290096,16890722.504499998,False,,alpaca:multi,,,,,,,,,unavailable,,
IAG,2016-02-11,2.06,2.3,11.650485436893192,9354871.99,False,,alpaca:multi,,,,,,,,,unavailable,,
EGO,2016-02-11,2.67,2.98,11.61048689138577,13187595.862,False,,alpaca:multi,,,,,,,,,unavailable,,
AUY,2016-02-11,2.44,2.72,11.475409836065584,32018533.1205,False,,alpaca:multi,,,,,,,,,unavailable,,
CDE,2016-02-11,2.5,2.77,10.8,6905290.2915,False,,alpaca:multi,,,,,,,,,unavailable,,
GFI,2016-02-11,4.05,4.48,10.6172839506173,23588614.454,False,,alpaca:multi,,,,,,,,,unavailable,,
HAPN,2016-02-11,6.51,7.19,10.445468509984648,60877249.0845,False,,alpaca:multi,,,,,,,,,unavailable,,
LC,2016-02-11,6.51,7.19,10.445468509984648,60877249.0845,False,,alpaca:multi,,,,,,,,,unavailable,,
PDFS,2016-02-12,9.0,11.4,26.66666666666667,1187965.4840000002,False,,alpaca:multi,,,,,,,,,unavailable,,
AXSM,2016-02-12,6.85,8.34,21.751824817518255,270320.40904000006,False,,alpaca:multi,,,,,,,,,unavailable,,
GRPN,2016-02-12,2.24,2.69,20.0892857142857,26075071.404749997,False,,alpaca:multi,,,,,,,,,unavailable,,
VCRA,2016-02-12,13.2,15.38,16.515151515151526,3655326.0549999997,False,,alpaca:multi,,,,,,,,,unavailable,,
QUOT,2016-02-12,5.45,6.33,16.146788990825687,2576024.2145,False,,alpaca:multi,,,,,,,,,unavailable,,
AXL,2016-02-12,11.75,13.57,15.489361702127663,32797126.9785,False,,alpaca:multi,,,,,,,,,unavailable,,
DCH,2016-02-12,11.75,13.57,15.489361702127663,32797126.9785,False,,alpaca:multi,,,,,,,,,unavailable,,
VRNS,2016-02-12,13.82,15.93,15.267727930535452,2921171.621499999,False,,alpaca:multi,,,,,,,,,unavailable,,
SQ,2016-02-12,8.62,9.7,12.529002320185617,13545950.658999998,False,,alpaca:multi,,,,,,,,,unavailable,,
XYZ,2016-02-12,8.62,9.7,12.529002320185617,13545950.658999998,False,,alpaca:multi,,,,,,,,,unavailable,,
NGL,2016-02-12,5.7,6.4,12.280701754385968,14636210.0625,False,,alpaca:multi,,,,,,,,,unavailable,,
