sym,day,variant,cost_model,ambiguity_policy,experiment,setup_ts,entry_ts,entry_et,kind,trigger,limit_cap,stop,risk_per_share,planned_shares,filled_shares,entry_fill,entry_slippage,exit_ts,exit_et,exit_price,exit_reason,gross_pnl,commissions,slippage_cost,net_pnl,net_r,mae_r,mfe_r,bars_held,ambiguous,halt_flag,participation_capped,ctx_gap_pct,ctx_price,ctx_rvol_at_time,ctx_push_pct,ctx_push_rvol,ctx_pullback_number,ctx_pullback_bars,ctx_pullback_depth_pct,ctx_pullback_volume_ratio,ctx_confluence_count,ctx_support_reasons,ctx_room_to_hod_r,ctx_is_new_high_trigger,ctx_hod_at_time,ctx_vwap,ctx_ema9,ctx_ema20,ctx_macd,ctx_macd_hist,ctx_atr,ctx_uses_atr_stop,ctx_risk_pct,ctx_scan_ts,ctx_kind,ctx_float_m,ctx_float_provenance,ctx_catalyst,ctx_catalyst_source
AMIX,2026-07-29,A,gross,pessimistic,exp1_common_exits,1785349560,1785349560,2026-07-29T14:27:00-04:00,pullback,4.60000015258789,4.70000015258789,4.52000020980835,0.07999994277954059,142,142,4.60000015258789,0.0,1785349620,2026-07-29T14:27:00-04:00,4.52000020980835,STOP,-11.359991874694764,0.0,0.0,-11.359991874694764,-1.0,-1.0000028610249982,0.12499985098828481,0,True,False,False,66.1781831221147,4.569900035858154,,8.279081738922129,2.235299638855207,2,1,44.61789880578002,0.40059567403935353,0,,33.125021785513425,False,7.25,5.190801399444112,4.446074265049264,4.388495506462656,0.02885468134303526,0.04487326097538318,0.10707288744516685,False,1.7391291331704375,1785332100,pullback,,unavailable,,
AMIX,2026-07-29,A,gross,pessimistic,exp1_common_exits,1785354840,1785354840,2026-07-29T15:55:00-04:00,pullback,4.395000228881836,4.495000228881835,4.318749541820507,0.07625068706132865,144,144,4.395000228881836,0.0,1785355020,2026-07-29T15:57:00-04:00,4.547501603004493,T2,16.470148405246988,0.0,0.0,16.470148405246988,1.5,-0.7213059765574096,2.9507885810429277,2,False,False,False,58.54545940052379,4.360000133514404,376.1722941656444,8.02919496316114,3.5133952022412887,1,2,50.0,0.5466334413157239,0,,37.44228257014759,False,7.25,5.1687821610881,4.2940541890730675,4.287230313924895,-0.005617023426113477,0.018353454935707756,0.07625068706132856,True,1.7349415947750277,1785332100,pullback,,unavailable,,
AMIX,2026-08-04,A,gross,pessimistic,exp1_common_exits,1785866940,1785866940,2026-08-04T14:10:00-04:00,pullback,17.680000076293947,17.856800077056885,17.309999694824217,0.3700003814697297,70,70,17.680000076293947,0.0,1785867000,2026-08-04T14:10:00-04:00,17.309999694824217,STOP,-25.900026702881078,0.0,0.0,-25.900026702881078,-1.0,-1.2972941039893584,0.5675651266096627,0,True,False,False,374.76163694926123,17.328800201416016,503.3468910212956,9.683422761262946,2.9022973856379153,1,1,22.435929569904964,0.4729183295972163,0,,10.95674323340408,False,21.733999252319336,9.728863508209022,16.919152877445573,16.978489443990018,-0.15008289267202457,0.10516363470002527,0.650180614010415,False,2.0927623295988615,1785850260,pullback,,unavailable,,
ARCT,2026-08-19,A,gross,pessimistic,exp1_common_exits,1787151060,1787151060,2026-08-19T10:52:00-04:00,pullback,9.989999542236328,10.089999542236328,9.950000038146973,0.03999950408935504,166,166,9.989999542236328,0.0,1787151120,2026-08-19T10:52:00-04:00,10.069998550415038,T2,9.959876518249406,0.0,0.0,9.959876518249406,1.5,-0.4999880789232502,2.000028610584226,0,False,False,False,21.31546884127642,9.960000038146973,32.657626696550864,5.04201175583855,2.5061869407957356,1,1,8.333333333333332,0.19141663501709077,0,,84.50105906845934,False,13.37,10.13307460048993,9.801437288791353,9.784957312205943,8.926062384695399e-05,0.023523073435781177,0.09119281663030133,False,0.40039545467687665,1787146500,pullback,,unavailable,,
ASPN,2026-08-06,A,gross,pessimistic,exp1_common_exits,1786023300,1786023300,2026-08-06T09:36:00-04:00,pullback,7.7099998092651365,7.809999809265136,7.535044760928949,0.17495504833618725,106,106,7.7099998092651365,0.0,1786023720,2026-08-06T09:42:00-04:00,7.7099998092651365,STOP,9.272617561817924,0.0,0.0,9.272617561817924,0.5,-0.9716772909887325,1.8290408121928252,6,False,False,False,51.796400631518914,7.605000019073486,56.96007463525392,11.75616775726732,3.8436820576231208,1,1,45.6790014440514,2.5822157460358914,0,,-0.05715753900844377,True,7.699999809265137,7.386762773258862,7.096828756802417,6.829707767805316,0.2427652584154698,0.10549324536177096,0.17495504833618686,True,2.269196532611364,1786023300,pullback,,unavailable,,
AVAH,2026-08-13,A,gross,pessimistic,exp1_common_exits,1786628160,1786628160,2026-08-13T09:37:00-04:00,pullback,10.369999656677246,10.473699653244019,10.250000228881836,0.11999942779540973,125,125,10.369999656677246,0.0,1786628220,2026-08-13T09:37:00-04:00,10.250000228881836,STOP,-14.999928474426216,0.0,0.0,-14.999928474426216,-1.0,-1.7916745742539177,1.907357729579258e-06,0,True,False,False,13.812154405032112,10.300000190734863,2.973523681704044,8.215180423110455,3.434286591292781,1,1,15.228409808805269,1.1530860519390238,0,,0.666672706632803,False,10.45,9.939690306453674,10.099892728405532,10.0532862271744,0.03573297581477064,0.029985518029676975,0.16182719396976591,False,1.1571787055763503,1786628100,pullback,,unavailable,,
BIYA,2026-07-27,A,gross,pessimistic,exp1_common_exits,1785173700,1785173700,2026-07-27T13:36:00-04:00,pullback,3.9997999763488767,4.099799976348876,3.9600000286102297,0.039799947738647035,166,166,3.9997999763488767,0.0,1785173760,2026-07-27T13:36:00-04:00,3.750200033187866,STOP_GAP,-41.43359056472775,0.0,0.0,-41.43359056472775,-6.271363590727557,-6.276389556821274,0.7512528972687872,0,True,False,False,105.77202748385686,3.971400022506714,,5.744132412825949,2.0311410893909123,1,2,36.36366591962269,0.267571482832637,0,,15.080420010222227,False,4.599999904632568,3.65821188444147,3.937014457635922,3.929922694804957,0.003006318681216147,0.00883089351546698,0.07859153880917495,False,0.9950484517722678,1785159300,pullback,,unavailable,,
BIYA,2026-07-28,A,gross,pessimistic,exp1_common_exits,1785258240,1785258240,2026-07-28T13:05:00-04:00,pullback,5.549999961853027,5.649999961853027,5.439999809265137,0.1100001525878902,129,129,5.549999961853027,0.0,1785258300,2026-07-28T13:05:00-04:00,5.439999809265137,STOP,-14.190019683837836,0.0,0.0,-14.190019683837836,-1.0,-1.1163631905806262,0.36363759316518507,0,True,False,False,31.65227845825857,5.4899001121521,0.26834038676308447,6.419368965966882,2.1558963414167147,2,1,44.404998179041186,1.0644132985349635,0,,9.72725854040179,False,6.619999885559082,5.427844265677353,5.382268291824959,5.311366226457496,0.07269379144036581,0.018064420026895837,0.08224026984840241,False,1.9819847449361692,1785245700,pullback,,unavailable,,
CDTG,2026-08-20,A,gross,pessimistic,exp1_common_exits,1787249640,1787249640,2026-08-20T14:15:00-04:00,pullback,2.8301000690460203,2.9301000690460204,2.7555823012335767,0.07451776781244357,145,145,2.8301000690460203,0.0,1787249760,2026-08-20T14:16:00-04:00,2.7555823012335767,STOP,-10.805076332804317,0.0,0.0,-10.805076332804317,-1.0,-1.0749123517444459,0.11943349705455208,1,False,False,False,-6.6378742567736415,2.8101999759674072,0.8038221708476649,12.04819080993089,4.846110459843843,1,3,19.56661853259699,0.4002784148609637,0,,24.8249486478001,False,4.679999828338623,3.7376477209802315,2.711807695389912,2.64972981766508,0.04428303399761546,0.035704718209780106,0.07451776781244368,True,2.6330435671683605,1787232900,pullback,,unavailable,,
CLRO,2026-08-06,A,gross,pessimistic,exp1_common_exits,1786031520,1786031520,2026-08-06T11:53:00-04:00,pullback,9.860000381469726,9.960000381469726,9.64999984741211,0.21000053405761676,97,97,9.860000381469726,0.0,1786031640,2026-08-06T11:54:00-04:00,9.860000381469726,STOP,10.080025634765605,0.0,0.0,10.080025634765605,0.4948453608247423,-1.238092089464234,1.9995149897239635,1,False,False,False,164.53802934997444,9.734999656677246,,8.122950084307535,2.864436251002849,2,1,25.675722697555376,1.4332068023762425,0,,15.666625007856474,False,13.15,10.709729243762064,9.471034902495687,9.309315260585239,0.1364254790378432,0.07754023485949968,0.17810256924698345,False,2.1298227782250265,1786023300,pullback,,unavailable,,
CRSR,2026-08-07,A,gross,pessimistic,exp1_common_exits,1786109580,1786109580,2026-08-07T09:34:00-04:00,pullback,12.619999656677246,12.746199653244018,12.357500305175781,0.2624993515014644,86,86,12.6496000289917,0.0,1786109700,2026-08-07T09:35:00-04:00,13.174598731994628,T2,33.862416343688906,0.0,0.0,33.862416343688906,1.4999999999999998,-0.07466652560729052,2.934864573552854,1,False,False,False,18.284642759971312,12.550000190734863,13.928109099209886,7.185125840672379,3.102092681570901,1,1,36.7646893828047,0.4555435077256709,0,,0.9142892809067173,False,12.86,12.407532094779407,12.41938830624549,12.407736298728505,-0.016507443928146515,0.03852070256778581,0.23417343612477043,False,2.0800266136503094,1786109700,pullback,,unavailable,,
CRSR,2026-08-07,A,gross,pessimistic,exp1_common_exits,1786109940,1786109940,2026-08-07T09:40:00-04:00,pullback,13.989999542236328,14.129899537658691,13.730099906921387,0.259899635314941,86,86,13.989999542236328,0.0,1786110840,2026-08-07T09:54:00-04:00,14.50979881286621,T2,33.52705295562738,0.0,0.0,33.52705295562738,1.4999999999999998,-0.6925716629094515,2.231631267527785,14,False,False,False,29.931199721430012,13.785699844360352,17.932722735700445,18.25866324042573,4.530367124413996,2,1,11.569438974552789,0.76,0,,8.806547030099083e-07,True,13.989999771118164,12.923216828578315,13.33659785410457,12.949311892672805,0.32968900046946814,0.1759207261137763,0.2888670682957414,False,1.8577529937030688,1786109700,pullback,,unavailable,,
DFNS,2026-07-27,A,gross,pessimistic,exp1_common_exits,1785168300,1785168300,2026-07-27T12:06:00-04:00,pullback,6.873800048828125,6.973800048828124,6.77000020980835,0.10379983901977496,131,131,6.873800048828125,0.0,1785168780,2026-07-27T12:13:00-04:00,7.081399726867675,T2,20.448568286895668,0.0,0.0,20.448568286895668,1.5038167938931297,-0.5183040520563658,8.441245761517509,7,False,False,False,56.78161657885007,6.820000171661377,,5.013598348342364,4.811921859315883,1,4,39.40579605405796,0.17609982156381981,0,,17.20811870268494,False,8.66,6.6835788570176335,6.787064366266495,6.756940485996932,0.02309702955582793,0.015884799963957915,0.09507298517650734,False,1.510079407059145,1785159300,pullback,,unavailable,,
DFNS,2026-07-27,A,gross,pessimistic,exp1_common_exits,1785169260,1785169260,2026-07-27T12:22:00-04:00,pullback,9.209999809265137,9.309999809265136,8.935751090811776,0.27424871845336085,84,84,9.209999809265137,0.0,1785169320,2026-07-27T12:22:00-04:00,8.935751090811776,STOP,-23.03689235008231,0.0,0.0,-23.03689235008231,-1.0,-2.406573209356724,0.6928010833984939,0,True,False,False,105.97701688694168,8.960000038146973,,36.494362509702796,10.864541168406525,2,1,22.00088466356176,1.0085555342413197,0,,0.510487607723858,False,9.350000381469727,6.793552440500761,8.11539357475925,7.543969060687147,0.5011059324969418,0.24862770462319694,0.2742487184533606,True,2.977727732170747,1785159300,pullback,,unavailable,,
DFNS,2026-07-27,A,gross,pessimistic,exp1_common_exits,1785178020,1785178020,2026-07-27T14:48:00-04:00,pullback,12.489999542236328,12.61489953765869,12.130000343322754,0.3599991989135738,71,71,12.489999542236328,0.0,1785178080,2026-07-27T14:48:00-04:00,12.130000343322754,STOP,-25.55994312286374,0.0,0.0,-25.55994312286374,-1.0,-1.3055559175993896,0.6666681501633502,0,True,False,False,182.98852159759963,12.3100004196167,,15.199773206253727,2.1189154297877897,6,1,25.3439458226703,1.062859933906716,0,,0.19444731430409837,False,12.5600004196167,8.525388840174944,11.608183910179356,11.323627481008815,0.22095286798320224,0.16002501326959875,0.4304312840562344,False,2.8822995364907444,1785159300,pullback,,unavailable,,
EDBL,2026-07-27,A,gross,pessimistic,exp1_common_exits,1785172260,1785172260,2026-07-27T13:12:00-04:00,pullback,3.4019999599456785,3.5019999599456786,3.309999933242798,0.09200002670288043,136,136,3.4019999599456785,0.0,1785172320,2026-07-27T13:12:00-04:00,3.309999933242798,STOP,-12.512003631591739,0.0,0.0,-12.512003631591739,-1.0,-3.0554343767564047,0.19565338177997776,0,True,False,False,7.643312150273555,3.380000114440918,,10.506035670231746,2.4700949711918603,2,3,45.46834901470766,0.2924034636087058,0,,71.06519720009628,False,9.94,6.689649522321598,3.2926051578487256,3.2124106012290534,0.07307508869257973,0.02999781549173381,0.08647793256184919,False,2.7042924099372843,1785159060,pullback,,unavailable,,
EMBC,2026-08-07,A,gross,pessimistic,exp1_common_exits,1786109760,1786109760,2026-08-07T09:37:00-04:00,pullback,4.390000114440918,4.490000114440917,4.2900001907348635,0.09999992370605426,133,133,4.390000114440918,0.0,1786109880,2026-08-07T09:38:00-04:00,4.2900001907348635,STOP,-13.299989852905217,0.0,0.0,-13.299989852905217,-1.0,-1.7000045394932146,0.09999988555899728,1,False,False,False,23.85714394705636,4.335000038146973,31.14288318118991,10.606062430506404,2.896681353071635,1,1,19.047597422355032,0.6155388911457819,0,,-0.10000007629400182,True,4.380000114440918,4.12173147636999,4.217623469934971,4.148537434842326,0.06947316567587425,0.020662463218690266,0.07522500304485673,False,2.277902530733524,1786109700,pullback,,unavailable,,
ENTX,2026-07-27,A,gross,pessimistic,exp1_common_exits,1785168420,1785168420,2026-07-27T12:08:00-04:00,pullback,3.750000009536743,3.850000009536743,3.6500000858306887,0.09999992370605426,133,133,3.750000009536743,0.0,1785168720,2026-07-27T12:12:00-04:00,3.750000009536743,STOP,6.599994964599581,0.0,0.0,6.599994964599581,0.49624060150375937,-0.6999999618529991,1.5000020027176009,4,False,False,False,79.51707559718331,3.6800999641418457,,5.64971892200318,2.191687302014687,1,1,39.99995231629555,0.5724154135338346,0,,4.5000014305125875,False,4.199999809265137,3.3789982957311415,3.6014801641921887,3.5575213215371777,0.03451533750152658,0.022570112504027885,0.0690652044373882,False,2.6666646253797683,1785159300,pullback,,unavailable,,
