trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,bucket,variant,cut
24,0.08333333333333333,0.9166666666666666,0.0,-2.340344853826234,-2.4777215236722636,0.5364914656326815,0.5364914656326815,-2.601875428322499,-2.5594417252517623,0.20619413973195955,0.02138578012399633,10.877061052459727,508.6118434489518,-497.7347823964921,-2.340344853826234,-56.16827649182962,,11.0,-11.702306988547699,-22.52331949620082,-33.6449569956288,2.0401607280976983,1.979059764668728,0.5319109288694289,-2.2909208924664672,0.0,-1.936920228987531,0.3333333333333333,0.2916666666666667,0.125,0.6666666666666666,0.2916666666666667,0.0,0.0,11.0,2-5,A,price
14,0.2857142857142857,0.7142857142857143,0.0,-1.1576013528355156,-0.9756351673073432,0.6561268324174632,0.7807560322809481,-1.883092626936707,-1.8300195543949058,0.34843046116366977,0.21364565596440765,43.14785102737769,201.95987993580323,-158.81202890842553,-1.1576013528355156,-16.20641893969722,,5.0,-4.387510306404001,-8.257900815459994,-13.25152407117924,1.6560157025556066,1.44056015466415,1.6061492493530622,-2.0368249063802244,1.4375594951334154,-1.6400763425757012,0.5714285714285714,0.5714285714285714,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.07142857142857142,0.07142857142857142,8.0,5-10,A,price
10,0.2,0.8,0.0,-1.1668827674765319,-1.564261130140427,1.2228048987304545,1.2228048987304545,-1.7643046840282783,-1.7069556410858349,0.6930803447953978,0.2740487370246271,54.938564834436804,200.4700529946241,-145.53148816018728,-1.1668827674765319,-12.397384861631162,-1701.635106361801,7.0,-4.364437106625863,-3.999629719147103,-7.669197955618214,1.651100356048362,1.301233056251242,1.0827550572855824,-1.8272083349055275,0.4193783606079486,-1.873425003944658,0.5,0.4,0.4,0.5,0.4,0.0,0.1,7.0,10-20,A,price
6,0.16666666666666666,0.8333333333333334,0.0,-1.1122596466518668,-0.9038350011348165,1.2337603868262557,1.2337603868262557,-1.5814636533474915,-1.717052610595064,0.7801383131472857,0.37898549850301694,27.85207192470757,73.49112838016902,-45.63905645546144,-1.1122596466518668,-6.6735578799112005,,4.0,-3.3826350250493484,-4.434065850013539,-3.473252416723917,1.7561730657120402,1.4765051027613345,1.1639186800701613,-1.5289897438731554,1.022319162802369,-1.8423831017854408,0.5,0.5,0.5,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,5.0,10-20,A,gap
18,0.16666666666666666,0.8333333333333334,0.0,-1.631310373256185,-1.7736872567356148,0.856730785170027,0.8563678242900633,-2.1289186049414277,-2.1356392734587617,0.40242533612204395,0.14555757688841134,45.711092092325586,314.0413097654754,-268.3302176731498,-1.631310373256185,-29.36358671861133,,6.0,-5.511128193017855,-10.44839153162661,-20.93420646657999,1.5160633140614241,1.2803293450644595,0.8165954521380127,-2.1196892846798168,0.341493087475868,-1.7929622032386627,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.5555555555555556,0.3888888888888889,0.0,0.05555555555555555,12.0,20-50,A,gap
13,0.3076923076923077,0.6923076923076923,0.0,-1.4206101579553776,-1.7444551110708748,0.5847868290149469,0.6380760254759159,-2.3118977077199663,-2.5895448409078075,0.2529466710668933,0.15263651460226793,35.400312897241065,231.92558471008925,-196.52527181284822,-1.4206101579553776,-18.467932053419908,,5.0,-7.306908813938882,-9.051363925009756,-16.886021616813153,1.8075484663896215,1.5927483814330539,1.3803728285098786,-1.8086819063041764,0.5293017367008749,-1.7264588335095947,0.5384615384615384,0.46153846153846156,0.23076923076923078,0.46153846153846156,0.15384615384615385,0.0,0.0,8.0,50-100,A,gap
9,0.0,1.0,0.0,-2.7637857612766137,-2.4261044377488097,,,-2.7637857612766137,-2.4261044377488097,,0.0,0.0,237.54047867415048,-237.54047867415048,-2.7637857612766137,-24.87407185148952,,9.0,-10.862576751978452,-13.858264985239412,-13.858264985239412,2.845714919243822,2.845714919243822,0.7169361519034856,-2.8487116229739815,0.0,-2.601851543568953,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.0,0.0,7.0,>100,A,gap
9,0.1111111111111111,0.8888888888888888,0.0,-1.3306170491170508,-1.717052610595064,1.2118494106346531,1.2118494106346531,-1.6484253565860136,-1.7307538608329693,0.7351557689845689,0.17713037277085053,27.086492909729238,152.91839838653988,-125.83190547681065,-1.3306170491170508,-11.975553442053457,,5.0,-3.304152953242574,-4.566447857237896,-11.884936050378888,1.3427696671502438,1.0935877662998104,0.877364058370069,-2.221265513162651,0.5293017367008749,-1.890690308860313,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.0,0.0,7.0,<20,A,pullback_depth
16,0.125,0.875,0.0,-1.8082514785487995,-2.040793661338327,0.713403884436405,0.713403884436405,-2.168487958975257,-2.405416544424429,0.32898678615376403,0.06623260559253402,21.5872757455301,325.93124719169276,-304.34397144616264,-1.8082514785487995,-28.932023656780792,,6.0,-7.306908813938882,-10.52780809539248,-22.027206937088735,1.5252256709762477,1.3784076555003246,0.590380923232046,-2.0048407981884315,0.01750271587282415,-1.8485771755780078,0.3125,0.3125,0.125,0.6875,0.25,0.0625,0.0625,13.0,20-35,A,pullback_depth
22,0.18181818181818182,0.8181818181818182,0.0,-2.012365144188355,-2.163775039757504,0.7333587670521656,0.7807560322809481,-2.6225260133529154,-2.7779451411586233,0.2796383194363674,0.12914998716470139,54.01998600404505,418.2732587898353,-364.2532727857903,-2.012365144188355,-44.272033172143814,,9.0,-14.9061750757484,-25.980339656573758,-25.980339656573758,2.347732583808461,2.190667901271114,1.198173803387451,-2.2180362355008083,0.0,-1.859395951317887,0.45454545454545453,0.4090909090909091,0.22727272727272727,0.5454545454545454,0.4090909090909091,0.0,0.045454545454545456,11.0,35-50,A,pullback_depth
2,0.5,0.5,0.0,-0.8954173543542847,-0.8954173543542847,0.5710078106799986,0.5710078106799986,-2.361842519388568,-2.361842519388568,0.24176371032045807,0.16206242900785814,6.269722254969835,38.68708061055796,-32.41735835558813,-0.8954173543542847,-2.361842519388568,-413.6270074092174,1.0,-2.361842519388568,-2.361842519388568,-2.361842519388568,2.0738383565966876,1.6700748615543761,1.1886536925488544,-1.6116767363275226,1.1886536925488544,-1.6116767363275226,0.5,0.5,0.5,0.5,0.0,0.0,0.0,2.0,>50,A,pullback_depth
35,0.17142857142857143,0.8285714285714286,0.0,-2.031846351899751,-2.361842519388568,0.6677363332456708,0.6380760254759159,-2.5903807005505275,-2.529338609595717,0.25777536603162554,0.09160968745756455,64.89704705650479,708.4081264502338,-643.5110793937291,-2.031846351899751,-71.68563012717128,-12554.229344394204,11.0,-12.861756474158497,-23.911368503361185,-47.2032538131301,2.0323087170710927,1.8813335159485411,0.8969016893175534,-2.2667831995911465,0.0,-1.940041632374661,0.37142857142857144,0.34285714285714286,0.17142857142857143,0.6285714285714286,0.2857142857142857,0.0,0.02857142857142857,15.0,1,A,pullback_number
12,0.08333333333333333,0.9166666666666666,0.0,-1.3563974391206404,-1.6344274732009625,1.2118494106346531,1.2118494106346531,-1.589874425462031,-1.7444551110708748,0.7622296397921361,0.12191151179718113,27.086492909729238,222.18158490883008,-195.09509199910084,-1.3563974391206404,-16.276769269447684,,8.0,-4.4614683504893495,-8.4933974538992,-8.4933974538992,1.3552727540167575,1.180367707127314,0.9375848725080437,-1.8868580148027299,0.5016557675978688,-1.839146849496557,0.5,0.4166666666666667,0.25,0.5,0.4166666666666667,0.08333333333333333,0.08333333333333333,8.0,2,A,pullback_number
2,0.5,0.5,0.0,0.21047330312616142,0.21047330312616142,0.9248326482874456,0.9248326482874456,-0.5038860420351228,-0.5038860420351228,1.835400410283604,3.252690986237099,16.97993694804021,5.22027361956187,11.75966332847834,0.21047330312616142,-0.5038860420351228,-119.70307743331338,1.0,-0.5038860420351228,-0.5038860420351228,0.42094660625232283,1.0102566743350512,0.35630123726828505,1.7184623802270453,-1.0546424399143652,1.7184623802270453,-1.0546424399143652,1.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0,3+,A,pullback_number
