gate_a,gate_b,phi,agree_pct,pass_a,pass_b,both_pass,only_a,only_b,neither
momentum,confluence,0.0536665139474071,48.656716417910445,54.47761194029851,14.17910447761194,58,307,37,268
momentum,pb_volume,-0.1963259713686737,39.850746268656714,54.47761194029851,45.37313432835821,133,232,171,134
momentum,hod_room,-0.3130633015711039,42.08955223880597,54.47761194029851,85.22388059701493,274,91,297,8
momentum,risk_structural,-0.3274354798999344,37.46268656716418,54.47761194029851,72.53731343283583,216,149,270,35
momentum,retracement,0.09350295717893725,56.26865671641791,54.47761194029851,74.92537313432835,287,78,215,90
momentum,pullback_structure,-0.05114419967332446,50.14925373134328,54.47761194029851,75.97014925373135,270,95,239,66
momentum,halt_band,,54.47761194029851,54.47761194029851,100.0,365,0,305,0
confluence,pb_volume,0.01629035923459348,53.88059701492537,14.17910447761194,45.37313432835821,45,50,259,316
confluence,hod_room,0.012507008015562695,25.07462686567164,14.17910447761194,85.22388059701493,82,13,489,86
confluence,risk_structural,-0.11417739237965113,30.29850746268657,14.17910447761194,72.53731343283583,57,38,429,146
confluence,retracement,-0.09060932421522572,29.402985074626862,14.17910447761194,74.92537313432835,62,33,440,135
confluence,pullback_structure,0.09842110238450524,34.32835820895522,14.17910447761194,75.97014925373135,82,13,427,148
confluence,halt_band,,14.17910447761194,14.17910447761194,100.0,95,0,575,0
pb_volume,hod_room,-0.04292166548341791,45.223880597014926,45.37313432835821,85.22388059701493,254,50,317,49
pb_volume,risk_structural,0.12417286313156504,53.43283582089552,45.37313432835821,72.53731343283583,239,65,247,119
pb_volume,retracement,0.06381829053225806,50.44776119402985,45.37313432835821,74.92537313432835,237,67,265,101
pb_volume,pullback_structure,-0.11190925540913886,42.83582089552239,45.37313432835821,75.97014925373135,215,89,294,72
pb_volume,halt_band,,45.37313432835821,45.37313432835821,100.0,304,0,366,0
hod_room,risk_structural,0.2620857411029093,74.17910447761194,85.22388059701493,72.53731343283583,442,129,44,55
hod_room,retracement,-0.01769819822624459,67.01492537313433,85.22388059701493,74.92537313432835,426,145,76,23
hod_room,pullback_structure,-0.07667959603436193,65.97014925373135,85.22388059701493,75.97014925373135,426,145,83,16
hod_room,halt_band,,85.22388059701493,85.22388059701493,100.0,571,0,99,0
risk_structural,retracement,0.00665570849909829,61.49253731343284,72.53731343283583,74.92537313432835,365,121,137,47
risk_structural,pullback_structure,-0.11908189960459398,57.16417910447761,72.53731343283583,75.97014925373135,354,132,155,29
risk_structural,halt_band,,72.53731343283583,72.53731343283583,100.0,486,0,184,0
retracement,pullback_structure,-0.09969454917101273,59.253731343283576,74.92537313432835,75.97014925373135,369,133,140,28
retracement,halt_band,,74.92537313432835,74.92537313432835,100.0,502,0,168,0
pullback_structure,halt_band,,75.97014925373135,75.97014925373135,100.0,509,0,161,0
