trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,variant,year
84,0.20238095238095238,0.7976190476190477,0.0,-1.5079814897865207,-1.8360377842298017,0.5719668512912793,0.6641060401796853,-2.0357295763286483,-1.9722137307378576,0.2809640621927777,0.08487832039998978,158.70782872119668,1869.8276305808683,-1711.1198018596715,-1.5079814897865207,-128.0634665974073,-9193.215661289936,20,-13.76143133854572,-21.16042211090871,-25.795658428269327,1.311449423371558,1.1237887336280612,0.707077968544665,-1.7966364007799063,0.2213630380562244,-1.6990933050673558,0.36904761904761907,0.2976190476190476,0.11904761904761904,0.6309523809523809,0.44047619047619047,0.0,0.0,49,A,2016
167,0.12574850299401197,0.844311377245509,0.029940119760479042,-1.7035142527273013,-2.1092896026052927,0.7165098125885581,0.7406427044762233,-2.124893527080467,-2.2332124945632,0.33719798354933045,0.06911271812990713,250.00509484367672,3617.352950491063,-3367.347855647387,-1.7035142527273013,-284.48688020545933,,17,-14.987475268927763,-19.069225384592293,-42.60639917136056,1.2790907102073044,1.1126419596662103,0.775995392166396,-1.9330491008496982,0.3801232669439134,-1.8235523643278624,0.4491017964071856,0.31137724550898205,0.1377245508982036,0.5508982035928144,0.3592814371257485,0.017964071856287425,0.023952095808383235,79,A,2017
174,0.1781609195402299,0.8045977011494253,0.017241379310344827,-1.6355230418418765,-1.9843914572968213,0.7185545252148793,0.7364860861136712,-2.192187505938762,-2.129966117357453,0.327779682745328,0.09579130932876595,379.93163702466535,3966.2432812218863,-3586.31164419722,-1.6355230418418765,-286.2452002478385,-23623.373736439775,19,-11.526048978779915,-17.485547386175497,-35.82183814037671,1.3542933694175454,1.1312248607155464,0.8067245671133197,-1.8969221094730662,0.2747953867769659,-1.7808608409824078,0.41379310344827586,0.3275862068965517,0.1724137931034483,0.5862068965517241,0.40229885057471265,0.0,0.017241379310344827,92,A,2018
215,0.13488372093023257,0.8511627906976744,0.013953488372093023,-1.7751745424251848,-2.055220388736712,0.7244469745914867,0.8211072730226937,-2.2007052426788882,-2.189370387227297,0.3291885530792971,0.07264517545714044,354.44913700562904,4879.183438888501,-4524.73430188287,-1.7751745424251848,-381.6625266214147,,42,-22.68736169818639,-31.32288584779839,-65.52437934798057,1.3337005506697808,1.154120125961316,0.7938372856327752,-1.959411509281561,0.1956339481306877,-1.821447449478459,0.3953488372093023,0.29767441860465116,0.15813953488372093,0.6046511627906976,0.3627906976744186,0.004651162790697674,0.027906976744186046,108,A,2019
478,0.16317991631799164,0.8117154811715481,0.02510460251046025,-1.6472394619518045,-2.05013226726604,0.7327138624024181,0.7990243038674487,-2.1762897495458846,-2.225699334697273,0.336680289265393,0.09532600575142766,1059.0586715214024,11109.860978367295,-10050.802306845897,-1.6472394619518045,-787.3804628129625,,26,-20.73755695286822,-42.952353387580445,-105.66464313116286,1.3861768376578842,1.1856046222436005,0.8304159874906479,-1.9173992612934168,0.32579712853241977,-1.7960230171158675,0.4476987447698745,0.3305439330543933,0.1589958158995816,0.5502092050209205,0.39330543933054396,0.0041841004184100415,0.014644351464435146,172,A,2020
628,0.12579617834394904,0.8503184713375797,0.02388535031847134,-1.7000258928408158,-2.013160004049974,0.7726848279190043,0.8460179193921255,-2.113717209596724,-2.0995598280573926,0.36555733397582774,0.07184151885733148,1170.1173639658814,16287.480868682525,-15117.363504716643,-1.7000258928408158,-1067.6162607040324,,26,-23.80482947882304,-59.059547687796005,-148.08480114461975,1.2752878441329039,1.0932807136473668,0.6879362371539719,-1.8965150138050026,0.22000022600327365,-1.761185775687709,0.38057324840764334,0.28662420382165604,0.1305732484076433,0.6194267515923567,0.40923566878980894,0.006369426751592357,0.007961783439490446,188,A,2021
422,0.13033175355450238,0.8507109004739336,0.018957345971563982,-1.8054514120412906,-2.160434469709113,0.7010754045891882,0.6960167160849574,-2.2296153720970433,-2.273336298913044,0.31443782338556375,0.06332947368498582,627.7516511180896,9912.472259609467,-9284.720608491381,-1.8054514120412906,-761.9004958814246,,42,-21.241331899470183,-56.38317049731273,-125.93396607704263,1.3288348490867798,1.163295709934835,0.8715865352078569,-2.0202167668316555,0.18877677940383103,-1.8099247432989432,0.3933649289099526,0.3009478672985782,0.15639810426540285,0.6066350710900474,0.4549763033175355,0.004739336492890996,0.0071090047393364926,151,A,2022
350,0.18,0.8,0.02,-1.6809204492268848,-2.0506909325485605,0.6956113791118786,0.7842479745552606,-2.257429038597191,-2.2381268491746624,0.3081431873243487,0.0942224499020249,765.0822910145604,8119.95752403078,-7354.875233016221,-1.6809204492268848,-588.3221572294096,,20,-15.858758425646855,-44.90710219249692,-92.93046523946154,1.3613555393944934,1.141968448924862,0.7844809441215747,-1.9201668725403365,0.27245870911434167,-1.756420736257613,0.4142857142857143,0.28285714285714286,0.1657142857142857,0.5857142857142857,0.44285714285714284,0.011428571428571429,0.017142857142857144,142,A,2023
387,0.12144702842377261,0.8733850129198967,0.00516795865633075,-1.8779611074150078,-2.149437981447049,0.7011324031558633,0.778679991872466,-2.24749361224717,-2.301214067872415,0.3119619114088747,0.05858544991820495,532.4504583832494,9088.441910519403,-8555.99145213615,-1.8779611074150078,-726.770948569608,,24,-19.34172368607142,-50.71700336525714,-101.99726048930161,1.2939363174650083,1.129174338085882,0.7378589478033999,-1.9797205591038767,0.136770152142879,-1.8571588938259764,0.36175710594315247,0.268733850129199,0.13953488372093023,0.6382428940568475,0.4134366925064599,0.0103359173126615,0.028423772609819122,165,A,2024
404,0.14603960396039603,0.8341584158415841,0.019801980198019802,-1.7613532079246101,-2.114980935029885,0.6962790900643115,0.8079257268592338,-2.2335443447878394,-2.257561943708335,0.3117373029504144,0.07799731224894921,727.1895633057861,9323.264383582435,-8596.074820276644,-1.7613532079246101,-711.7982742024952,-336423.25674243795,24,-20.217662743034552,-37.88851043119274,-75.88345508885482,1.3408492192795574,1.1572652445756182,0.8185898539267958,-2.0008476227504017,0.2499884874771166,-1.882343412089989,0.4282178217821782,0.3094059405940594,0.15841584158415842,0.5717821782178217,0.4084158415841584,0.0049504950495049506,0.012376237623762377,180,A,2025
318,0.11949685534591195,0.8616352201257862,0.018867924528301886,-1.8646188245386563,-2.067378795037204,0.6640965062713147,0.7351833396711964,-2.256225685046722,-2.2535734826486724,0.2943395736838988,0.05480892326493697,409.13343065632046,7464.723010131751,-7055.589579475432,-1.8646188245386563,-592.9487862032927,,29,-20.06629492198391,-36.54556097714708,-110.22315671937763,1.3149117249255524,1.1663900509652638,0.7944716586337677,-1.993737422064145,0.1986491646375634,-1.8750389373655778,0.39937106918238996,0.2893081761006289,0.14150943396226415,0.60062893081761,0.44025157232704404,0.006289308176100629,0.02830188679245283,127,A,2026
68,0.1323529411764706,0.8676470588235294,0.0,-1.6630139461004698,-1.8885196229936052,0.6221043418304144,0.7831638433781873,-2.0115913120560283,-1.9722137307378576,0.309259807447949,0.05810093067105672,95.11965027021336,1637.1450366043398,-1542.0253863341266,-1.6630139461004698,-113.08494833483195,,16,-13.76143133854572,-16.31673550310977,-19.907720683031137,1.1852924995027923,1.0247920714007963,0.5465469157815176,-1.8314026502160778,0.12306816764424511,-1.6945767578870052,0.3382352941176471,0.22058823529411764,0.08823529411764706,0.6617647058823529,0.47058823529411764,0.0,0.014705882352941176,40,B,2016
130,0.16153846153846155,0.8,0.038461538461538464,-1.620347968898456,-2.082450793928394,0.6963054617003758,0.7406427044762233,-2.166091637499628,-2.218944823098795,0.32145706564110926,0.08227094215146345,237.33950357457493,2884.8521405969227,-2647.512637022348,-1.620347968898456,-211.2190948368304,-36806.800798371696,13,-12.399679260747988,-16.054974999569193,-29.606095529686506,1.3069046180907027,1.1097335668937491,0.7967398879114834,-1.8734936632524173,0.39679319212217623,-1.790025575064836,0.45384615384615384,0.3230769230769231,0.15384615384615385,0.5461538461538461,0.4153846153846154,0.0,0.0,67,B,2017
